Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Bird species, threatened",EN.BIR.THRD.NO,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,5,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Tunisia,TUN,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Turkey,TUR,..,..,..,..,..,..,..,..,20,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Turkmenistan,TKM,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,4,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Tuvalu,TUV,..,..,..,..,..,..,..,..,1,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Uganda,UGA,..,..,..,..,..,..,..,..,30,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Ukraine,UKR,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,United Kingdom,GBR,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,United States,USA,..,..,..,..,..,..,..,..,91,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Uruguay,URY,..,..,..,..,..,..,..,..,22,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Uzbekistan,UZB,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Vanuatu,VUT,..,..,..,..,..,..,..,..,8,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,52,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Vietnam,VNM,..,..,..,..,..,..,..,..,52,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,3,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,15,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,16,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Zambia,ZMB,..,..,..,..,..,..,..,..,20,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,19,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,655,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,338,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Arab World,ARB,..,..,..,..,..,..,..,..,319,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Caribbean small states,CSS,..,..,..,..,..,..,..,..,87,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,133,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,1792,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,1224,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,828,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,799,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Euro area,EMU,..,..,..,..,..,..,..,..,213,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,678,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,342,..,..,..
